Machine Name,Input String,Result,Max Depth,# Transitions,Average Nondeterminism,Comments
data_aplus_crystalball.csv,aaaaa,Accpeted,7,16,1.455,
data_aplus_crystalball.csv,aaaab,Rejected,6,13,1.444,
data_aplus_crystalball.csv,aaaaaaaaaaaaaaaaaa,Accpeted,20,55,1.486,
data_aplus_crystalball.csv,baa,Rejected,2,2,1.0,
data_aplus_crystalball.csv,a,Accpeted,3,4,1.333,
data_aplus_crystalball.csv,aaacaa,Rejected,5,10,1.429,
data_equal_01s_DTM_crystalball.csv,01,Accpeted,6,6,1.0,
data_equal_01s_DTM_crystalball.csv,1010,Accpeted,14,14,1.0,
data_equal_01s_DTM_crystalball.csv,10101,Rejected,15,15,1.0,
data_equal_01s_DTM_crystalball.csv,11111111110000000000,Accpeted,312,312,1.0,
data_equal_01s_crystalball.csv,01,Accpeted,6,9,1.125,
data_equal_01s_crystalball.csv,1010,Accpeted,14,22,1.1,
data_equal_01s_crystalball.csv,10101,Rejected,15,23,1.1,
data_equal_01s_crystalball.csv,11111111110000000000,Accpeted,312,387,1.027,
data_loop_crystalball.csv,,Timed Out,1000,1000,1.0,
data_loop_crystalball.csv,a,Timed Out,1000,1000,1.0,
data_loop_crystalball.csv,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,Timed Out,1000,1000,1.0,
